rank,actor1,actor2,actor3,actor4
295,Adam Sandler, Kathy Bates, Henry Winkler, Fairuza Balk
296,Aziz Ansari, Joy Behar, Christopher Campbell, Alain Chabat
297,O'Shea Jackson Jr., Corey Hawkins, Jason Mitchell, Neil Brown Jr.
298,Pierce Brosnan, Halle Berry, Toby Stephens, Rosamund Pike
299,Will Smith, Robert De Niro, Ren_e Zellweger, Jack Black
300,Sandra Bullock, Melissa McCarthy, Demiˆn Bichir, Marlon Wayans
301,Chris Pine, Zachary Quinto, Zoe Saldana, 
302,Julie Andrews, Christopher Plummer, Eleanor Parker, Richard Haydn
303,Tom Cruise, Jeanne Tripplehorn, Gene Hackman, Hal Holbrook
304,Adam Sandler, Chris Rock, Burt Reynolds, Nelly
305,Hugh Jackman, Patrick Stewart, Ian McKellen, Famke Janssen
306,Carmen Electra, Dave Sheridan, Frank B. Moore, Giacomo Baessato
307,Michael Douglas, Glenn Close, Anne Archer, Ellen Latzen
308,Bob Hoskins, Christopher Lloyd, Joanna Cassidy, Charles Fleischer
309,Paul Newman, Robert Redford, Robert Shaw, Charles Durning
310,Michelle Pfeiffer, Katharine Towne, Miranda Otto, James Remar
311,James McAvoy, Michael Fassbender, Jennifer Lawrence, Nicholas Hoult
312,Brendan Fraser, Rachel Weisz, John Hannah, Arnold Vosloo
313,Kristen Stewart, Chris Hemsworth, Charlize Theron, Sam Claflin
314,Dwayne Johnson, Carla Gugino, Alexandra Daddario, Ioan Gruffudd
315,Franchot Tone, Ann Sothern, Ruth Hussey, Lee Bowman
316,Bruce Willis, Garry Shandling, Steve Carell, Wanda Sykes
317,Miles Teller, Michael B. Jordan, Kate Mara, Jamie Bell
318,Jim Carrey, Steve Carell, Carol Burnett, Will Arnett
319,Tom Hardy, Charlize Theron, Nicholas Hoult, Hugh Keays-Byrne
320,Tom Cruise, Cuba Gooding Jr., Ren_e Zellweger, Kelly Preston
321,Anna Kendrick, Justin Timberlake, Zooey Deschanel, Christopher Mintz-Plasse
322,Eddie Murphy, Judge Reinhold, Jôrgen Prochnow, Ronny Cox
323,Freddie Prinze Jr., Sarah Michelle Gellar, Matthew Lillard, Linda Cardellini
324,Hoyt Axton, John Louie, Keye Luke, Don Steele
325,Owen Wilson, Cristela Alonzo, Chris Cooper, Nathan Fillion
326,Sarah Jessica Parker, Kim Cattrall, Kristin Davis, Cynthia Nixon
