rank,title,studio,box_office,year
443,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Fox,128505958,2006
444,Ghostbusters (2016),Sony,128350574,2016
445,Kingsman: The Secret Service,Fox,128261724,2015
446,Robots,Fox,128200012,2005
447,Coming to America,Par.,128152301,1988
448,"Crouching Tiger, Hidden Dragon",SPC,128078872,2000
449,Shutter Island,Par.,128012934,2010
450,Into the Woods,BV,128002372,2014
451,Rocky IV,UA,127873716,1985
452,Enchanted,BV,127807262,2007
453,The Curious Case of Benjamin Button,Par.,127509326,2008
454,Central Intelligence,WB (NL),127440871,2016
455,Anchorman 2: The Legend Continues,Par.,127352707,2013
456,Sweet Home Alabama,BV,127223418,2002
457,Dumb and Dumber,NL,127175374,1994
458,2 Fast 2 Furious,Uni.,127154901,2003
459,My Best Friend's Wedding,Sony,127120029,1997
460,Super 8,Par.,127004179,2011
461,The World Is Not Enough,MGM,126943684,1999
462,Smokey and the Bandit,Uni.,126737428,1977
463,Sleepless in Seattle,TriS,126680884,1993
464,Lucy,Uni.,126663600,2014
465,The Legend of Tarzan,WB,126643061,2016
466,Bee Movie,P/DW,126631277,2007
467,Prometheus,Fox,126477084,2012
468,Safe House,Uni.,126373434,2012
469,Mr. Deeds,Sony,126293452,2002
470,The Truman Show,Par.,125618201,1998
471,Erin Brockovich,Uni.,125595205,2000
472,Ocean's Twelve,WB,125544280,2004
473,Terminator Salvation,WB,125322469,2009
474,Charlie's Angels,Sony,125305545,2000
475,Tomorrow Never Dies,MGM,125304276,1997
476,Lone Survivor,Uni.,125095601,2013
477,Sully,WB,125070033,2016
478,Rocky III,UA,125049125,1982
479,The Vow,SGem,125014030,2012
480,Life of Pi,Fox,124987023,2012
481,The Fault in our Stars,Fox,124872350,2014
482,Cloudy with a Chance of Meatballs,Sony,124870275,2009
483,The Devil Wears Prada,Fox,124740460,2006
484,Something's Gotta Give,Sony,124728738,2003
485,Traffic,USA,124115725,2000
486,The Birdcage,MGM,124060553,1996
487,City Slickers,Col.,124033791,1991
488,"Good Morning, Vietnam",BV,123922370,1987
489,Rango,Par.,123477607,2011
490,Nutty Professor II: The Klumps,Uni.,123309890,2000
491,The Good Dinosaur,BV,123087120,2015
492,G.I. Joe: Retaliation,Par.,122523060,2013
493,Clear and Present Danger,Par.,122187717,1994
494,The Hunt for Red October,Par.,122012643,1990
495,The Bodyguard,WB,122006740,1992
496,Wayne's World,Par.,121697323,1992
497,The Bourne Identity,Uni.,121661683,2002
498,Superbad,Sony,121463226,2007
499,Speed,Fox,121248145,1994
500,50 First Dates,Sony,120908074,2004
